!,Version Number Major,Version Number Minor,Version Number Build,,,
~Drawing Details File,1,5,2,,,
!Part #,Length,Width,Height,3D filename,2D filename,2DEO filename
101103,300,51,51,101103xyz.dwg,101103xz.dwg,101103yz.dwg
101106,600,51,51,101106xyz.dwg,101106xz.dwg,101106yz.dwg
101109,900,51,51,101109xyz.dwg,101109xz.dwg,101109yz.dwg
101112,1200,51,51,101112xyz.dwg,101112xz.dwg,101112yz.dwg
101115,1500,51,51,101115xyz.dwg,101115xz.dwg,101115yz.dwg
101118,1800,51,51,101118xyz.dwg,101118xz.dwg,101118yz.dwg
101121,2100,51,51,101121xyz.dwg,101121xz.dwg,101121yz.dwg
101124,2400,51,51,101124xyz.dwg,101124xz.dwg,101124yz.dwg
101127,2700,51,51,101127xyz.dwg,101127xz.dwg,101127yz.dwg
101130,3000,51,51,101130xyz.dwg,101130xz.dwg,101130yz.dwg
101133,3300,51,51,101133xyz.dwg,101133xz.dwg,101133yz.dwg
101136,3600,51,51,101136xyz.dwg,101136xz.dwg,101136yz.dwg
101139,3900,51,51,101139xyz.dwg,101139xz.dwg,101139yz.dwg
101142,4200,51,51,101142xyz.dwg,101142xz.dwg,101142yz.dwg
101145,4500,51,51,101145xyz.dwg,101145xz.dwg,101145yz.dwg
101148,4800,51,51,101148xyz.dwg,101148xz.dwg,101148yz.dwg
101151,5100,51,51,101151xyz.dwg,101151xz.dwg,101151yz.dwg
101154,5400,51,51,101154xyz.dwg,101154xz.dwg,101154yz.dwg
101157,5700,51,51,101157xyz.dwg,101157xz.dwg,101157yz.dwg
101160,6000,51,51,101160xyz.dwg,101160xz.dwg,101160yz.dwg
101165,6500,51,51,101165xyz.dwg,101165xz.dwg,101160yz.dwg
101500,225,125,125,3D Tie Clamp 90 Degree.dwg,101500xz.dwg,101500yz.dwg
101505,150,80,80,,,
102230,3000,564,70,102230xyz.dwg,102230xz.dwg,
102236,3600,564,70,102236xyz.dwg,102236xz.dwg,
102242,4200,564,70,102242xyz.dwg,102242xz.dwg,
102248,4800,564,70,102248xyz.dwg,102248xz.dwg,
102254,5400,564,70,102254xyz.dwg,102254xz.dwg,
102260,6000,564,70,102260xyz.dwg,102260xz.dwg,
102521,10,125,250,102521xyz.dwg,102521xz.dwg,102521yz.dwg
102622,460,48,48,102622xyz.dwg,102622xz.dwg,102622yz.dwg
103312,1200,230,64,103312xyz.dwg,103312xz.dwg,103312yz.dwg
103318,1800,230,64,103318xyz.dwg,103318xz.dwg,103318yz.dwg
103324,2400,230,64,103324xyz.dwg,103324xz.dwg,103324yz.dwg
103975,225,300,38,103975xyz.dwg,103975xz.dwg,103975yz.dwg
103985,225,1500,38,103985xyz.dwg,103985xz.dwg,103985yz.dwg
107005,230,48,48,107005xyz.dwg,107005xz.dwg,107005yz.dwg
107010,1090.66,48,48,107010xyz.dwg,107010xz.dwg,107010yz.dwg
107015,1586,48,48,107015xyz.dwg,107015xz.dwg,107015yz.dwg
107020,2081.32,48,48,107020xyz.dwg,107020xz.dwg,107020yz.dwg
107025,2576.65,48,48,107025xyz.dwg,107025xz.dwg,107025yz.dwg
107030,3072,48,48,107030xyz.dwg,107030xz.dwg,107030yz.dwg
107045,990.66,48,48,107045xyz.dwg,107045xz.dwg,107045yz.dwg
107050,1486,48,48,107050xyz.dwg,107050xz.dwg,107050yz.dwg
107055,1981.32,48,48,107055xyz.dwg,107055xz.dwg,107055yz.dwg
107060,2476.65,48,48,107060xyz.dwg,107060xz.dwg,107060yz.dwg
107065,2972,48,48,107065xyz.dwg,107065xz.dwg,107065yz.dwg
107090,730,48,48,107008xyz.dwg,107008xz.dwg,107008yz.dwg
107108,714,48,48,107108xyz.dwg,107108xz.dwg,107108yz.dwg
107112,1222,48,48,107112xyz.dwg,107112xz.dwg,107112yz.dwg
107118,1781,48,48,107118xyz.dwg,107118xz.dwg,107118yz.dwg
107124,2391,48,48,107124xyz.dwg,107124xz.dwg,107124yz.dwg
107208,714,48,48,107208xyz.dwg,107208xz.dwg,107208yz.dwg
107212,1222,48,48,107212xyz.dwg,107212xz.dwg,107212yz.dwg
107218,1781,48,48,107218xyz.dwg,107218xz.dwg,107218yz.dwg
107224,2391,48,48,107224xyz.dwg,107224xz.dwg,107224yz.dwg
107230,1130,50,50,,,
107231,1730,50,50,,,
107232,2330,50,50,,,
107313,1317,48,48,107313xyz.dwg,107313xz.dwg,107313yz.dwg
107317,1737,48,48,107317xyz.dwg,107317xz.dwg,107317yz.dwg
107321,2019,48,48,107321xyz.dwg,107321xz.dwg,107321yz.dwg
107327,2763,48,48,107327xyz.dwg,107327xz.dwg,107327yz.dwg
107332,3208,48,48,107332xyz.dwg,107332xz.dwg,107332yz.dwg
107336,3542,48,48,107336xyz.dwg,107336xz.dwg,107336yz.dwg
107400,150,80,80,,,
107407,751,230,64,107407xyz.dwg,107407xz.dwg,107407yz.dwg
107412,1251,230,64,107412xyz.dwg,107412xz.dwg,107412yz.dwg
107418,1810,230,64,107418xyz.dwg,107418xz.dwg,107418yz.dwg
107424,2420,230,64,107424xyz.dwg,107424xz.dwg,107424yz.dwg
107507,751,230,64,107507xyz.dwg,107507xz.dwg,107507yz.dwg
107512,1251,230,64,107512xyz.dwg,107512xz.dwg,107512yz.dwg
107518,1810,230,64,107518xyz.dwg,107518xz.dwg,107518yz.dwg
107524,2420,230,64,107524xyz.dwg,107524xz.dwg,107524yz.dwg
107601,250,60,230,107601xyz.dwg,107601xz.dwg,107601yz.dwg
107602,508,60,445,107602xyz.dwg,107602xz.dwg,107602yz.dwg
107603,738.2,60,990,107603xyz.dwg,107603xz.dwg,107603yz.dwg
107610,520,520,70,107610xyz.dwg,,
107611,760,38,38,107611xyz.dwg,107611xz.dwg,107611yz.dwg
107612,1244,38,38,107612xyz.dwg,107612xz.dwg,107612yz.dwg
107618,1803,38,38,107618xyz.dwg,107618xz.dwg,107618yz.dwg
107624,2413,38,38,107624xyz.dwg,107624xz.dwg,107624yz.dwg
107829,1219,46,990,107829xyz.dwg,107829xz.dwg,107829yz.dwg
107830,1219,46,990,107830xyz.dwg,107830xz.dwg,107830yz.dwg
107831,1775,46,990,107831xyz.dwg,107831xz.dwg,107831yz.dwg
107832,2435,46,990,107832xyz.dwg,107832xz.dwg,107832yz.dwg
107850,2856,564,150,107850xyz.dwg,107850xz.dwg,107850yz.dwg
107851,2856,564,150,,,
107852,2856,564,150,,,
109000,150,80,80,,,
109005,500,48,48,,,
109010,1000,48,48,109010xyz.dwg,109010xz.dwg,109010yz.dwg
109015,1500,48,48,109015xyz.dwg,109015xz.dwg,109015yz.dwg
109020,2000,48,48,109020xyz.dwg,109020xz.dwg,109020yz.dwg
109025,2500,48,48,109025xyz.dwg,109025xz.dwg,109025yz.dwg
109030,3000,48,48,109030xyz.dwg,109030xz.dwg,109030yz.dwg
109108,752,48,48,109108xyz.dwg,109108xz.dwg,109108yz.dwg
109112,1152,48,48,109112xyz.dwg,109112xz.dwg,109112yz.dwg
109118,1752,48,48,109118xyz.dwg,109118xz.dwg,109118yz.dwg
109124,2352,48,48,109124xyz.dwg,109124xz.dwg,109124yz.dwg
109208,752,48,48,109208xyz.dwg,109208xz.dwg,109208yz.dwg
109212,1152,48,48,109212xyz.dwg,109212xz.dwg,109212yz.dwg
109218,1752,48,48,109218xyz.dwg,109218xz.dwg,109218yz.dwg
109224,2352,48,48,109224xyz.dwg,109224xz.dwg,109224yz.dwg
109313,1332,60,60,109313xyz.dwg,109313xz.dwg,
109315,1614,60,60,109315xyz.dwg,109315xz.dwg,
109319,1973,60,60,109319xyz.dwg,109319xz.dwg,
109327,2743,60,60,109327xyz.dwg,109327xz.dwg,
109331,3177,60,60,109331xyz.dwg,109331xz.dwg,
109335,3518,60,60,109335xyz.dwg,109335xz.dwg,
109400,150,80,80,109400xyz.dwg,109400xz.dwg,109400yz.dwg
109408,745,230,64,109408xyz.dwg,109408xz.dwg,109408yz.dwg
109412,1145,230,64,109412xyz.dwg,109412xz.dwg,109412yz.dwg
109418,1745,230,64,109418xyz.dwg,109418xz.dwg,109418yz.dwg
109424,2345,230,64,109424xyz.dwg,109424xz.dwg,109424yz.dwg
109508,745,230,64,,,
109512,1145,230,64,,,
109518,1745,230,64,,,
109524,2345,230,64,,,
109601,250,60,230,109601xyz.dwg,109601xz.dwg,109601yz.dwg
109602,508,60,445,109602xyz.dwg,109602xz.dwg,109602yz.dwg
109603,800,60,990,109603xyz.dwg,109603xz.dwg,109603yz.dwg
109610,520,520,70,,,
109611,800,38,38,109611xyz.dwg,109611xz.dwg,109611yz.dwg
109612,1200,38,38,109612xyz.dwg,109612xz.dwg,109612yz.dwg
109618,1800,38,38,109618xyz.dwg,109618xz.dwg,109618yz.dwg
109624,2400,38,38,109624xyz.dwg,109624xz.dwg,109624yz.dwg
109810,1130,50,50,109810xyz.dwg,109810xz.dwg,109810yz.dwg
109837,1085,46,1000,109837xyz.dwg,109837xz.dwg,109837yz.dwg
109838,1700,46,1000,109838xyz.dwg,109838xz.dwg,109838yz.dwg
109839,2300,46,1000,109839xyz.dwg,109839xz.dwg,109839yz.dwg
109841,651,46,1000,109841xyz.dwg,109841xz.dwg,109841yz.dwg
109850,2856,564,150,109850xyz.dwg,109850xz.dwg,
147000,0,20,0,,,
147003,0,20,0,,,
SP7001,648,648,48,SP7001xyz.dwg,,SP7001yz.dwg
SP7002,648,648,48,SP7002xyz.dwg,,SP7002yz.dwg
SP7003,250,250,70,SP7003xyz.dwg,,
SP7004,800,800,70,SP7004xyz.dwg,,
SP7005,250,520,70,SP7005xyz.dwg,,
SP7006,250,800,70,SP7006xyz.dwg,,
SP7007,520,800,70,SP7007xyz.dwg,,
SP7008,520,250,70,SP7008xyz.dwg,,
SP7009,800,250,70,SP7009xyz.dwg,,
SP7010,800,520,70,,,
SP7011,1677,48,48,SP7011xyz.dwg,,SP7011yz.dwg
SP7012,225,2700,38,SP7012xyz.dwg,,SP7012yz.dwg
SP9001,648,648,48,,,
SP9002,648,648,48,,,
SP9003,250,250,70,,,
SP9004,800,800,70,,,
SP9005,250,520,70,,,
SP9006,250,800,70,,,
SP9007,520,800,70,,,
SP9008,520,250,70,,,
SP9009,800,250,70,,,
SP9010,800,520,70,,,
SP9011,2019,60,60
TEXT,200,200,200
